,Time,Peak Current,y1_pred,y2_pred,y1_model,y2_model,1_R-squared,2_R-squared,y1_legend,y1_param,y2_legend,y2_param
0,4.4,0.25704,0.6201907013729413,0.7963494726479513,0.2446253333901184,0.5836858247672365,0.9999480275594078,0.9269151010689869,A1,43.60018869165848,A,67.3523919576914
1,4.8,0.243565,0.5901135848367798,0.7868229344473368,0.2545125979557402,0.6364966858523401,,,A2,4.098069580326766,k_1,0.001978163147090249
2,5.2,0.268468,0.563679044083208,0.7773184020248112,0.27044990384574785,0.6892657760658848,,,k_1,0.10093942760540056,k_2,1.4000883757092069e-36
3,5.6,0.289592,0.5407637696072883,0.7679824252510943,0.29289055893546145,0.7419931284466199,,,k_2,0.11370038328496969,k_3,0.4804709765944431
4,6.0,0.315557,0.5211618607724032,0.7589012448201853,0.3220655188560003,0.7946787760071939,,,k_3,5.646632241769344,k_4,8.191489026549494
5,6.4,0.34212,0.5046264708021694,0.7501230703086048,0.3580235127894885,0.8473227517341175,,,k_4,0.002825290485464039,lig_I,2.3331539134069852e-11
6,6.8,0.392453,0.4908953163726383,0.7416722295862666,0.4006656009110082,0.8999250885878373,,,lig_I,0.019639431380601105,b,3.1127670436984974e-35
7,7.2,0.449619,0.47970600587833245,0.7335581510421152,0.4497748494652801,0.9524858195027135,,,b,2.057146854677392e-10,,
8,7.6,0.512096,0.4708049657926485,0.7257810613544577,0.5050417300971298,1.0050049773870504,,,c,7.047386006799283,,
9,8.0,0.577229,0.4639523624435522,0.7183355957297171,0.566085779551532,1.0574825951231321,,,,,,
10,8.4,0.645486,0.45892453826134405,0.7112130815314637,0.6324739932505655,1.109918705567246,,,,,,
11,8.8,0.718842,0.45551492357566403,0.7044029790333937,0.703736370675829,1.1623133415496665,,,,,,
12,9.2,0.792492,0.45353403065314596,0.6978937868079067,0.7793789811637951,1.214666535874716,,,,,,
13,9.6,0.870701,0.45280891169073706,0.6916736072293674,0.8588948749705915,1.2669783213207708,,,,,,
14,10.0,0.951111,0.4531823197516608,0.6857304963471488,0.9417731256674903,1.3192487306402763,,,,,,
15,10.4,1.033488,0.4545117211702521,0.6800526771036521,1.0275062555432604,1.3714777965597844,,,,,,
16,10.8,1.114936,0.456668250699593,0.6746286660866149,1.1155962652258646,1.4236655517799461,,,,,,
17,11.2,1.206975,0.45953566451674144,0.6694473457051675,1.2055594617601868,1.4758120289755547,,,,,,
18,11.6,1.292865,0.46300932343352263,0.664498002045763,1.296930255503286,1.5279172607955478,,,,,,
19,12.0,1.38193,0.46699522439174296,0.6597703412689702,1.3892640750787317,1.5799812798630573,,,,,,
20,12.4,1.468901,0.47140908943977794,0.6552544927073987,1.482139530960579,1.63200411877541,,,,,,
21,12.8,1.561725,0.47617551591635215,0.6509410038372585,1.5751599417606565,1.6839858101041432,,,,,,
22,13.2,1.653779,0.4812271882515146,0.6468208303972607,1.6679543227277434,1.7359263863950183,,,,,,
23,13.6,1.742492,0.4865041498370786,0.6428853237220649,1.7601779231155066,1.7878258801680804,,,,,,
24,14.0,1.837095,0.49195313231324267,0.6391262165910756,1.8515123877458486,1.8396843239176441,,,,,,
25,14.4,1.928205,0.49752693904387385,0.6355356084067416,1.9416656081128425,1.8915017501123144,,,,,,
26,14.8,2.020322,0.5031838793068515,0.6321059502077069,2.0303713195871396,1.9432781911950179,,,,,,
27,15.2,2.110621,0.5088872496794448,0.6288300298263849,2.1173884935554543,1.9950136795830309,,,,,,
28,15.6,2.198744,0.5146048591709325,0.6257009573765846,2.202500566543173,2.046708247667973,,,,,,
29,16.0,2.28612,0.5203085947946499,0.622712151178524,2.2855145424133765,2.098361927815851,,,,,,
30,16.4,2.370796,0.5259740244476074,0.6198573241792679,2.366259998515771,2.149974752367082,,,,,,
31,16.8,2.450489,0.5315800341580534,0.6171304708957464,2.4445880220905076,2.2015467536364834,,,,,,
32,17.2,2.526673,0.5371084969578437,0.6145258548883085,2.5203700992379163,2.253077963913321,,,,,,
33,17.6,2.602271,0.5425439708300417,0.6120379967609809,2.5934969752794146,2.3045684154613366,,,,,,
34,18.0,2.673642,0.5478734233686252,0.6096616626775053,2.663877502297427,2.3560181405187395,,,,,,
35,18.4,2.741919,0.5530859809642996,0.6073918533780973,2.7314374870002096,2.4074271712982234,,,,,,
36,18.8,2.80959,0.5581727004971255,0.6052237936796072,2.7961185497640315,2.4587955399870394,,,,,,
37,19.2,2.868062,0.5631263616726028,0.603152922440673,2.857877003718862,2.510123278746959,,,,,,
38,19.6,2.922591,0.5679412782831306,0.6011748829730927,2.916682761027321,2.5614104197143113,,,,,,
39,20.0,2.982799,0.5726131268116914,0.599285513880731,2.972518272027675,2.6126569950000054,,,,,,
40,20.4,3.033341,0.5771387909197057,0.5974808403076316,3.0253775016412385,2.6638630366895737,,,,,,
41,20.8,3.081653,0.5815162204767935,0.5957570655775257,3.0752649463567305,2.715028576843159,,,,,,
42,21.2,3.126344,0.5857443038972711,0.5941105632075283,3.122194694176601,2.7661536474955346,,,,,,
43,21.6,3.165771,0.58982275264715,0.5925378692794641,3.166189529122785,2.8172382806561505,,,,,,
44,22.0,3.206913,0.5937519968767968,0.5910356751529285,3.2072800812342215,2.868282508309124,,,,,,
45,22.4,3.246852,0.5975330912187548,0.5896008205048522,3.245504022429929,2.9192863624133016,,,,,,
46,22.8,3.279998,0.6011676298680663,0.588230286680986,3.280905308145885,2.9702498749022124,,,,,,
47,23.2,3.311975,0.6046576701342253,0.5869211903453612,3.3135334642690686,3.0211730776841716,,,,,,
