,Time,Peak Current,y1_pred,y2_pred,y1_model,y2_model,1_R-squared,2_R-squared,y1_legend,y1_param,y2_legend,y2_param
0,0.0,0.690706979,0.4501723700000001,0.45017237000000004,0.6894114358125352,0.6895111536420021,0.9998103225879351,0.9996287413192181,A1,5.57244975086745,A,4.396233563707013
1,0.4,1.122488456,0.6935906817872113,0.6172093290622853,1.1319715842077032,1.131094982378839,,,A2,0.08697130259101046,k_1,0.36857026160328066
2,0.8,1.397860008,0.8148158230494433,0.7176930878094676,1.3874086670638026,1.3884981961893825,,,k_1,0.3094444504500269,k_2,0.01935469052253193
3,1.2,1.612175614,0.8621006876135742,0.7761214595517189,1.5907776990053546,1.593330401242922,,,k_2,0.016102290982094418,k_3,4.134478776260453
4,1.6,1.797712157,0.8657742120129801,0.8080575178556926,1.7736788343812269,1.7770567379354656,,,k_3,3.1407294242457438,k_4,1.3603936424181067
5,2.0,1.954548117,0.8447996386921763,0.8233845666129929,1.9438648624943458,1.9475963418205624,,,k_4,1.455313696735392,lig_I,0.4912339979137578
6,2.4,2.097755073,0.8109415811096201,0.8283754726835411,2.103571827976249,2.1073080056865527,,,lig_I,0.6459061652760878,b,0.6895111536420017
7,2.8,2.234636509,0.771413061497346,0.827008227490196,2.2537409480903863,2.257214762801623,,,b,0.6894114358125352,,
8,3.2,2.366785055,0.730556356572978,0.82180229769238,2.3949920124738533,2.3979975629092976,,,c,32.45144920069692,,
9,3.6,2.501569125,0.6909097406694203,0.8143503172110864,2.527848760240219,2.530230293013013,,,,,,
10,4.0,2.631911983,0.653883956253599,0.8056560926249863,2.652791961846293,2.654436578284341,,,,,,
11,4.4,2.755154834,0.6201907013729413,0.7963494726479513,2.770272767045465,2.771104642477197,,,,,,
12,4.8,2.872801179,0.5901135848367798,0.7868229344473368,2.8807168437931354,2.8806922291269617,,,,,,
13,5.2,2.98605915,0.563679044083208,0.7773184020248112,2.9845263395189696,2.98362910232322,,,,,,
14,5.6,3.085615379,0.5407637696072883,0.7679824252510943,3.0820812867837404,3.0803188975720404,,,,,,
15,6.0,3.179572326,0.5211618607724032,0.7589012448201853,3.1737408296928655,3.1711407433798544,,,,,,
16,6.4,3.26266525,0.5046264708021694,0.7501230703086048,3.2598443604801797,3.256450756968207,,,,,,
17,6.8,3.341169551,0.4908953163726383,0.7416722295862666,3.3407125894570284,3.3365834427695193,,,,,,
18,7.2,3.419647857,0.47970600587833245,0.7335581510421152,3.416648556135391,3.4118530045369053,,,,,,
19,7.6,3.499881285,0.4708049657926485,0.7257810613544577,3.4879385856585707,3.4825545774688154,,,,,,
20,8.0,3.566155708,0.4639523624435522,0.7183355957297171,3.554853193701425,3.5489653854745997,,,,,,
21,8.4,3.632800631,0.45892453826134405,0.7112130815314637,3.6176479426597616,3.6113458281878805,,,,,,
22,8.8,3.690594069,0.45551492357566403,0.7044029790333937,3.6765642517573554,3.6699405020062446,,,,,,
23,9.2,3.741953369,0.45353403065314596,0.6978937868079067,3.731830163548826,3.724979159164596,,,,,,
24,9.6,3.793662435,0.45280891169073706,0.6916736072293674,3.7836610691614085,3.7766776086036202,,,,,,
25,10.0,3.841230998,0.4531823197516608,0.6857304963471488,3.8322603944923777,3.825238562165946,,,,,,
26,10.4,3.880939406,0.4545117211702521,0.6800526771036521,3.8778202494597713,3.8708524294379956,,,,,,
27,10.8,3.919696102,0.456668250699593,0.6746286660866149,3.9205220422913767,3.9136980643541577,,,,,,
28,11.2,3.959857628,0.45953566451674144,0.6694473457051675,3.960537060730387,3.953943466490756,,,,,,
29,11.6,3.99334503,0.46300932343352263,0.664498002045763,3.9980270219352603,3.9917464397996087,,,,,,
30,12.0,4.026694184,0.46699522439174296,0.6597703412689702,4.033144592755881,4.027255211364107,,,,,,
31,12.4,4.058345755,0.47140908943977794,0.6552544927073987,4.066033881977798,4.0606090126039796,,,,,,
