Time,Peak Current
0,0.057555234
4.04,0.099507077
8.08,0.119211758
12.12,0.112195847
16.16,0.112685544
20.2,0.080666416
24.24,0.082582943
28.28,0.079321729
32.32,0.088970702
36.36,0.09621825
40.4,0.102988452
44.44,0.123413644
48.48,0.127048139
52.52,0.136470546
56.56,0.164052381
60.6,0.180470461
64.64,0.187838347
68.68,0.203856234
72.72,0.272239352
76.76,0.243175236
80.8,0.28435981
84.84,0.28516289
88.88,0.308342199
92.92,0.330429002
96.96,0.35495567
101,0.378590662
105.04,0.401163088
109.08,0.427530878
113.12,0.451847638
117.16,0.479350327
121.2,0.502035846
125.24,0.530600233
129.28,0.556389673
133.32,0.568069324
137.36,0.595679284
141.4,0.599152399
145.44,0.621923827
149.48,0.651084042
153.52,0.645104498
157.56,0.681121475
161.6,0.675501407
165.64,0.688220428
169.68,0.704850338
173.72,0.729293874
177.76,0.751662679
181.8,0.777852196
185.84,0.8034071
189.88,0.839016065
193.92,0.874406798
197.96,0.919367074
202,0.934138112
206.04,0.949419401
210.08,0.996619197
214.12,1.029590114
218.16,1.03548879
222.2,1.069115442
226.24,1.100301929
230.28,1.144530229
234.32,1.162442849
238.36,1.198858154
242.4,1.230141911
246.44,1.256147455
250.48,1.287644949
254.52,1.322786295
258.56,1.348326078
262.6,1.376008342
266.64,1.403713719
270.68,1.429168738
274.72,1.453130696
278.76,1.477337314
282.8,1.497810782
286.84,1.52424533
290.88,1.547375347
294.92,1.56916098
298.96,1.59243548
303,1.612160381
307.04,1.62889792
311.08,1.650161836
315.12,1.668148659
319.16,1.685989245
323.2,1.707238674
327.24,1.722522269
331.28,1.741263669
335.32,1.756395678
339.36,1.770668155
343.4,1.786545086
347.44,1.801225016
351.48,1.818262853
355.52,1.830551401
359.56,1.845235927
363.6,1.861601892
367.64,1.870158763
371.68,1.888459425
375.72,1.905440997
379.76,1.913474092
383.8,1.927800349
387.84,1.93756756
391.88,1.955110026
395.92,1.967174288
399.96,1.977980625
404,1.993509683
408.04,2.006077702
412.08,2.012982168
416.12,2.024738242
