Time,Peak Current
0,0.561114708
0.2,0.739425319
0.4,0.831240227
0.6,0.864971974
0.8,1.019939327
1,1.087046304
1.2,1.148378491
1.4,1.213830325
1.6,1.270716818
1.8,1.323760911
2,1.374474867
2.2,1.420796244
2.4,1.462851007
2.6,1.50226473
2.8,1.545507187
3,1.580583405
3.2,1.616428416
3.4,1.653482471
3.6,1.685784508
3.8,1.715873795
4,1.750626769
4.2,1.785860002
4.4,1.812375715
4.6,1.841815877
4.8,1.873453793
5,1.903153907
5.2,1.92831942
5.4,1.956700681
5.6,1.979843451
5.8,2.006174844
6,2.027342161
6.2,2.048779248
6.4,2.066351197
6.6,2.091827043
6.8,2.114048533
7,2.128096023
7.2,2.155565616
7.4,2.170158932
7.6,2.192286928
7.8,2.212217252
8,2.226155985
8.2,2.238361752
8.4,2.256509113
8.6,2.272602718
8.8,2.287073076
9,2.30313808
9.2,2.319466654
9.4,2.334867969
9.6,2.343832644
9.8,2.361716112
10,2.366841515
10.2,2.377893843
10.4,2.392066428
10.6,2.397334972
10.8,2.412049217
11,2.41875391
11.2,2.429071135
11.4,2.438831232
11.6,2.444115972
11.8,2.450191511
12,2.461842778
12.2,2.471441505
12.4,2.476554771
12.6,2.486007454
12.8,2.498667264
13,2.505987374
13.2,2.511003138
13.4,2.521794518
13.6,2.524610127
13.8,2.531599899
14,2.542397659
14.2,2.544956308
14.4,2.545788979
14.6,2.555439355
14.8,2.563139079
15,2.571719496
15.2,2.577218353
15.4,2.582953845
15.6,2.588183253
15.8,2.590598044
16,2.600450462
16.2,2.601760847
16.4,2.606583056
16.6,2.607506124
16.8,2.615275716
17,2.615539597
17.2,2.620929582
17.4,2.629523702
17.6,2.631498619
17.8,2.636699887
18,2.644184166
18.2,2.644719459
18.4,2.647457782
18.6,2.648166049
18.8,2.655986567
19,2.656374649
19.2,2.660317213
19.4,2.660507717
19.6,2.661495786
19.8,2.662704137
20,2.664718305
20.2,2.665530314
20.4,2.672351929
20.6,2.673617107
20.8,2.677011871
21,2.681145689
21.2,2.682777999
21.4,2.6848563
21.6,2.692912756
21.8,2.692829498
22,2.694352211
22.2,2.700065029
22.4,2.704144198
22.6,2.706764064
22.8,2.714772549
23,2.711206515
23.2,2.717860886
23.4,2.721182025
23.6,2.719697822
23.8,2.725251033
24,2.728011359
24.2,2.728380004
24.4,2.728805106
24.6,2.731116882
24.8,2.733025061
25,2.738481669
25.2,2.741580684
25.4,2.741516433
25.6,2.737027825
25.8,2.748591377
26,2.742488701
26.2,2.741430342
26.4,2.742080705
26.6,2.744502396
26.8,2.744896755
27,2.750127591
27.2,2.751276523
27.4,2.757017551
27.6,2.751051115
27.8,2.757950833
28,2.757349092
28.2,2.755991316
28.4,2.758758214
28.6,2.761619251
28.8,2.763528206
29,2.7727572
29.2,2.766893683
29.4,2.770746162
29.6,2.769313245
29.8,2.771372422
30,2.773406427
30.2,2.777003788
30.4,2.778522866
30.6,2.783853196
30.8,2.78212012
31,2.784128093
31.2,2.789332919
31.4,2.788926778
31.6,2.788935867
31.8,2.789011436
32,2.789279047
32.2,2.793872003
32.4,2.793817824
32.6,2.798289974
32.8,2.796874355
33,2.804677284
33.2,2.797574119
33.4,2.803812776
33.6,2.799899691
33.8,2.807607384
34,2.805001428
34.2,2.805978691
34.4,2.804195447
34.6,2.808627857
34.8,2.811202413
35,2.811664707
35.2,2.818408975
35.4,2.814176672
35.6,2.821744852
35.8,2.822933541
36,2.823283562
36.2,2.82054815
36.4,2.823941048
36.6,2.823198813
36.8,2.826068545
37,2.825269033
37.2,2.82973445
37.4,2.827557823
37.6,2.832727418
37.8,2.831720897
38,2.826131187
38.2,2.833736178
38.4,2.83353905
38.6,2.834607144
38.8,2.835725341
39,2.841222631
39.2,2.840332682
39.4,2.838917331
39.6,2.840128161
39.8,2.844621144
40,2.841509706
40.2,2.844590275
40.4,2.846910097
40.6,2.84305636
40.8,2.848141705
41,2.850445817
41.2,2.847057656
41.4,2.849872248
41.6,2.850512154
41.8,2.844793458
42,2.847872642
42.2,2.848124441
42.4,2.844974403
42.6,2.84810867
42.8,2.849347143
43,2.845088083
43.2,2.84870003
43.4,2.846536992
43.6,2.845470496
43.8,2.848969543
44,2.846459778
44.2,2.846775415
44.4,2.850205402
44.6,2.854487501
44.8,2.847474717
45,2.852427471
45.2,2.85143776
45.4,2.854989915
45.6,2.852305184
45.8,2.851534563
46,2.848774989
46.2,2.850951565
46.4,2.848521741
46.6,2.851002416
46.8,2.854012427
47,2.851070536
47.2,2.851142939
47.4,2.853037424
47.6,2.854403147
47.8,2.84889317
48,2.854823648
48.2,2.848935387
48.4,2.848555923
48.6,2.850403574
48.8,2.851700533
