Time,Peak Current
58,1.486996271
58.2,1.487503055
58.4,1.490087825
58.6,1.492805462
58.8,1.494485953
59,1.499731606
59.2,1.502341201
59.4,1.509110043
59.6,1.51350678
59.8,1.516603845
60,1.524203303
60.2,1.524750328
60.4,1.527066579
60.6,1.535913118
60.8,1.54260371
61,1.544183241
61.2,1.546638431
61.4,1.546122578
61.6,1.5537001
61.8,1.560089906
62,1.559511561
62.2,1.56564822
62.4,1.571846763
62.6,1.57404582
62.8,1.572639915
63,1.574722611
63.2,1.576241245
63.4,1.578633937
63.6,1.579032541
63.8,1.582816488
64,1.585381638
64.2,1.589965388
64.4,1.589786514
64.6,1.594709816
64.8,1.601319604
65,1.604870677
65.2,1.610905896
65.4,1.615882964
65.6,1.616396234
65.8,1.619344367
66,1.62452291
66.2,1.623792269
66.4,1.632062155
66.6,1.633335187
66.8,1.638251108
67,1.644076934
67.2,1.651107602
67.4,1.657082451
67.6,1.663571542
67.8,1.667008474
68,1.672066809
68.2,1.675324548
68.4,1.682237865
68.6,1.686528629
68.8,1.687561014
69,1.690263829
69.2,1.690365164
69.4,1.69845545
69.6,1.701210781
69.8,1.707678608
70,1.70520952
70.2,1.708158555
70.4,1.717026426
70.6,1.7213854
70.8,1.72202936
71,1.726303255
71.2,1.729384732
71.4,1.732278244
71.6,1.734122447
71.8,1.739036918
72,1.742850521
72.2,1.742472408
72.4,1.742542947
72.6,1.748309821
72.8,1.752965381
73,1.752937247
73.2,1.757065118
73.4,1.759808033
73.6,1.760096551
73.8,1.76391104
74,1.764936249
74.2,1.766538503
74.4,1.769875824
74.6,1.770060088
74.8,1.773980706
75,1.781632758
75.2,1.783662022
75.4,1.786960842
75.6,1.788352362
75.8,1.793342873
76,1.794027231
76.2,1.798092622
76.4,1.803638789
76.6,1.805770639
76.8,1.809488858
77,1.816033767
77.2,1.818955497
77.4,1.82299353
77.6,1.822420026
77.8,1.824517711
78,1.830557962
78.2,1.832686456
78.4,1.831660797
78.6,1.834698269
78.8,1.83752586
79,1.837424084
79.2,1.846845626
79.4,1.850047656
79.6,1.855878812
79.8,1.857756717
80,1.858070767
80.2,1.860221021
80.4,1.868046579
80.6,1.867701869
80.8,1.870873039
81,1.876882941
81.2,1.878019806
81.4,1.880927136
81.6,1.886171408
81.8,1.894602716
82,1.897134947
82.2,1.90062931
82.4,1.902403845
82.6,1.908804573
82.8,1.90874782
83,1.907266875
83.2,1.914295628
83.4,1.91336647
83.6,1.922967687
83.8,1.922494696
84,1.924680725
84.2,1.929473048
84.4,1.930561351
84.6,1.931644594
84.8,1.934277415
85,1.933833589
85.2,1.9340939
85.4,1.937510882
85.6,1.94187882
85.8,1.946845039
86,1.948967483
86.2,1.954610172
86.4,1.955199844
86.6,1.960555721
86.8,1.964965204
87,1.970755196
87.2,1.971466623
87.4,1.971687706
87.6,1.977516679
87.8,1.977017445
88,1.979261148
88.2,1.983683249
88.4,1.984838783
88.6,1.992527147
88.8,1.986617692
89,1.991475104
89.2,1.990892007
89.4,1.992024649
89.6,1.998805886
89.8,2.00526975
90,2.007163013
90.2,2.009327818
90.4,2.01178434
90.6,2.013904115
90.8,2.018261112
91,2.016019785
91.2,2.016228443
91.4,2.016244109
91.6,2.017371798
91.8,2.022614602
92,2.028918253
92.2,2.029342937
92.4,2.03084664
92.6,2.035355171
92.8,2.039744322
93,2.041181108
93.2,2.041093122
93.4,2.042001869
93.6,2.046663426
93.8,2.050700126
94,2.055496564
94.2,2.059515558
94.4,2.057052125
94.6,2.060282529
94.8,2.063271864
95,2.066533502
95.2,2.063590722
95.4,2.066892385
95.6,2.068083884
95.8,2.069679975
96,2.071551391
96.2,2.077159747
96.4,2.076856961
96.6,2.083607935
96.8,2.085035946
97,2.085637396
97.2,2.091035581
97.4,2.092602309
97.6,2.094319859
97.8,2.094400961
98,2.094218647
98.2,2.096376942
98.4,2.098575704
98.6,2.104513375
98.8,2.102849663
99,2.106425061
99.2,2.111363776
99.4,2.115909389
99.6,2.116986524
99.8,2.118430641
100,2.121141962
100.2,2.120835751
100.4,2.125762479
100.6,2.127890669
100.8,2.127656495
101,2.130182604
101.2,2.130668206
101.4,2.128761055
101.6,2.136417601
101.8,2.1385841
102,2.142818153
102.2,2.149758013
102.4,2.151115895
102.6,2.154645682
102.8,2.156623418
103,2.157717834
103.2,2.161652637
103.4,2.162336413
103.6,2.1678572
103.8,2.166467083
104,2.16894575
104.2,2.16718623
104.4,2.170321486
104.6,2.170961239
104.8,2.16990408
105,2.174773915
105.2,2.172945125
105.4,2.175182135
105.6,2.172800623
105.8,2.173796645
106,2.181228335
106.2,2.179933294
106.4,2.183164195
106.6,2.184483341
106.8,2.186396004
107,2.192718498
107.2,2.195047045
107.4,2.202227746
107.6,2.203514432
107.8,2.209765922
108,2.215805298
108.2,2.217058036
108.4,2.222908923
108.6,2.217258894
108.8,2.220651054
109,2.219491509
109.2,2.218449226
109.4,2.220563881
109.6,2.225403932
109.8,2.223387327
110,2.228335776
110.2,2.231755378
110.4,2.234133297
110.6,2.23429573
110.8,2.240512694
111,2.237308309
111.2,2.235209882
111.4,2.233679498
111.6,2.234868776
111.8,2.236383238
112,2.233364357
112.2,2.232779217
112.4,2.232879253
112.6,2.230717646
112.8,2.230197452
113,2.230701465
113.2,2.235668333
113.4,2.240638523
113.6,2.244945447
113.8,2.248853935
114,2.249866009
114.2,2.253811198
