Time,Peak Current
0,0.193484655
0.4,0.284555133
0.8,0.342882465
1.2,0.386690758
1.6,0.417927196
2,0.446150363
2.4,0.478070373
2.8,0.504262687
3.2,0.533980801
3.6,0.561644446
4,0.592794205
4.4,0.626215981
4.8,0.655221852
5.2,0.685161941
5.6,0.714846284
6,0.748970072
6.4,0.774745623
6.8,0.808651429
7.2,0.831839454
7.6,0.861357849
8,0.88950386
8.4,0.912285585
8.8,0.943611523
9.2,0.963517142
9.6,0.982750573
10,1.015758786
10.4,1.025037798
10.8,1.04579582
11.2,1.062109629
11.6,1.078185774
12,1.093788749
12.4,1.111947121
12.8,1.134940799
13.2,1.139298284
13.6,1.13957992
14,1.155047434
14.4,1.175886156
14.8,1.182729869
15.2,1.174726358
15.6,1.189687108
16,1.191638792
16.4,1.19342397
16.8,1.191716659
17.2,1.203623396
17.6,1.208825697
18,1.198553728
18.4,1.211650206
18.8,1.206714375
19.2,1.203189789
19.6,1.202360454
20,1.213344258
20.4,1.205952623
20.8,1.217781596
21.2,1.203652986
21.6,1.207684529
22,1.203905114
22.4,1.196438819
22.8,1.204293802
23.2,1.193169345
23.6,1.193231005
24,1.198568231
24.4,1.182251111
24.8,1.184473929
25.2,1.164303856
25.6,1.167050612
26,1.168963273
26.4,1.161434452
26.8,1.16315931
27.2,1.162923959
27.6,1.146001451
28,1.15208757
28.4,1.147848303
28.8,1.128749245
29.2,1.140385775
29.6,1.117756888
30,1.130102342
