Time,Peak Current
0,0.0284658
0.4,0.018778045
0.8,0.016763388
1.2,0.015624419
1.6,0.014482117
2,0.012446238
2.4,0.014870655
2.8,0.015723581
3.2,0.014044733
3.6,0.015901372
4,0.016673286
4.4,0.016804276
4.8,0.01578595
5.2,0.0200204
5.6,0.018595318
6,0.020629342
6.4,0.023488253
6.8,0.021482603
7.2,0.023806713
7.6,0.026758945
8,0.028256544
8.4,0.029617453
8.8,0.031742929
9.2,0.031808149
9.6,0.034364148
10,0.042178304
10.4,0.039735895
10.8,0.045031481
11.2,0.051775569
11.6,0.052407727
12,0.056506163
12.4,0.065897898
12.8,0.072620347
13.2,0.079507648
13.6,0.080858393
14,0.091842082
14.4,0.090617416
14.8,0.102715916
15.2,0.106923279
15.6,0.113567976
16,0.119311139
16.4,0.124969925
16.8,0.135391654
17.2,0.133717945
17.6,0.146295742
18,0.156280488
18.4,0.15829195
18.8,0.169960761
19.2,0.177930795
19.6,0.183105936
20,0.192276828
20.4,0.193051597
20.8,0.206085891
21.2,0.21005851
21.6,0.218578148
22,0.220328525
22.4,0.229300544
22.8,0.237745147
23.2,0.238493019
23.6,0.244832369
24,0.257590298
24.4,0.260655405
24.8,0.268846758
25.2,0.272454533
25.6,0.276822268
26,0.284270073
26.4,0.291359527
26.8,0.294209901
27.2,0.301364329
27.6,0.301173788
28,0.30916496
28.4,0.311548449
28.8,0.320047361
29.2,0.323297578
29.6,0.324376153
30,0.333485282
30.4,0.334897664
30.8,0.339775064
31.2,0.346119454
31.6,0.344262184
32,0.349268405
32.4,0.351896579
32.8,0.355372122
33.2,0.356237286
33.6,0.356743589
34,0.361643204
34.4,0.360206398
34.8,0.361816514
35.2,0.366906509
35.6,0.371496748
36,0.375577962
36.4,0.373328408
36.8,0.37613135
37.2,0.376131124
37.6,0.378404398
38,0.378966397
38.4,0.384528375
38.8,0.384819875
39.2,0.38460133
39.6,0.383929292
40,0.382766546
40.4,0.38815822
40.8,0.393704061
41.2,0.391927476
41.6,0.392325161
42,0.397239645
42.4,0.392609475
42.8,0.396622993
43.2,0.396902281
43.6,0.39680578
44,0.396874859
44.4,0.394410313
44.8,0.394658217
45.2,0.392731865
45.6,0.391487503
46,0.395906689
46.4,0.388875419
46.8,0.391648228
47.2,0.393983185
47.6,0.389083492
48,0.392998577
48.4,0.392205834
48.8,0.387819825
49.2,0.3912802
49.6,0.384304885
50,0.384128415
50.4,0.383949362
50.8,0.391894907
51.2,0.37953844
51.6,0.383163966
52,0.379058561
52.4,0.383501415
52.8,0.375547045
53.2,0.374327553
53.6,0.381828485
54,0.373927974
54.4,0.374031238
54.8,0.367046712
55.2,0.374350528
55.6,0.364657004
56,0.369979027
56.4,0.365587543
