Time,Peak Current
4.4,0.25704
4.8,0.243565
5.2,0.268468
5.6,0.289592
6,0.315557
6.4,0.34212
6.8,0.392453
7.2,0.449619
7.6,0.512096
8,0.577229
8.4,0.645486
8.8,0.718842
9.2,0.792492
9.6,0.870701
10,0.951111
10.4,1.033488
10.8,1.114936
11.2,1.206975
11.6,1.292865
12,1.38193
12.4,1.468901
12.8,1.561725
13.2,1.653779
13.6,1.742492
14,1.837095
14.4,1.928205
14.8,2.020322
15.2,2.110621
15.6,2.198744
16,2.28612
16.4,2.370796
16.8,2.450489
17.2,2.526673
17.6,2.602271
18,2.673642
18.4,2.741919
18.8,2.80959
19.2,2.868062
19.6,2.922591
20,2.982799
20.4,3.033341
20.8,3.081653
21.2,3.126344
21.6,3.165771
22,3.206913
22.4,3.246852
22.8,3.279998
23.2,3.311975
23.6,3.343049
24,3.370904
24.4,3.394754
24.8,3.411519
25.2,3.432036
25.6,3.448947
26,3.463495
26.4,3.475139
26.8,3.484243
27.2,3.492175
27.6,3.501434
28,3.506082
28.4,3.510037
28.8,3.510891
29.2,3.511202
29.6,3.512316
30,3.510838
30.4,3.507743
30.8,3.50362
31.2,3.500242
